Date,Signal,Combo,NIFTY Open,Gap%,Strike,ATM,Expiry,DTE,IV%,Entry (pts),Exit (pts),Exit Reason,Exit Time,P&L (pts),P&L (Rs),Actual,Actual Ret%,Correct?
2023-07-13,BULLISH,Prev India DOWN + US UP + SGX DOWN,19495,+0.57%,19550 CE,19500,2023-07-13,0,17.1,15.0,21.0,Target Hit,09:44,6.0,370.0,UP,+0.33%,YES
2023-07-25,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,19729,+0.29%,19700 PE,19750,2023-07-27,2,15.7,79.9,105.91,10:15 exit,10:15,26.01,1870.8,DOWN,-0.26%,YES
2023-08-28,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,19298,+0.17%,19250 PE,19300,2023-08-31,3,14.8,80.0,80.95,10:15 exit,10:15,0.95,-8.39,DOWN,-0.03%,YES
2023-09-29,BULLISH,Prev India DOWN + US UP + SGX DOWN,19581,+0.30%,19650 CE,19600,2023-10-05,6,11.9,99.95,108.51,10:15 exit,10:15,8.56,561.89,UP,+0.08%,YES
2023-10-05,BULLISH,Prev India DOWN + US UP + SGX DOWN,19522,+0.44%,19550 CE,19500,2023-10-05,0,17.8,25.0,21.66,10:15 exit,10:15,-3.34,-330.48,UP,+0.02%,YES
2023-10-09,BULLISH,Gap Down + US UP,19539,-0.58%,19600 CE,19550,2023-10-12,3,15.3,90.0,103.07,10:15 exit,10:15,13.07,900.12,UP,+0.18%,YES
2023-10-10,BULLISH,Prev India DOWN + US UP + SGX DOWN,19566,+0.27%,19600 CE,19550,2023-10-12,2,12.6,65.05,91.07,Target Hit,10:15,26.02,1871.5,UP,+0.27%,YES
2023-10-13,BULLISH,Gap Down + SGX UP,19655,-0.70%,19700 CE,19650,2023-10-19,6,11.4,105.65,122.63,10:15 exit,10:15,16.98,1193.7,UP,+0.19%,YES
2023-10-17,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,19843,+0.56%,19800 PE,19850,2023-10-19,2,15.0,70.05,78.4,10:15 exit,10:15,8.35,545.99,DOWN,-0.11%,YES
2023-11-02,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,19120,+0.69%,19050 PE,19100,2023-11-02,0,34.0,39.4,23.64,Stop Loss,09:38,-15.76,-1262.0,UP,+0.02%,NO
2023-11-08,BULLISH,Prev India DOWN + US UP + SGX DOWN,19450,+0.22%,19500 CE,19450,2023-11-09,1,13.2,40.0,31.91,10:15 exit,10:15,-8.09,-687.03,DOWN,-0.12%,NO
2023-11-10,BULLISH,Gap Down + SGX UP,19352,-0.22%,19400 CE,19350,2023-11-16,6,10.7,95.0,94.88,10:15 exit,10:15,-0.12,-89.13,DOWN,-0.01%,NO
2023-11-17,BULLISH,Gap Down + US UP,19675,-0.46%,19700 CE,19650,2023-11-23,6,13.5,136.9,191.66,Target Hit,09:42,54.76,4027.0,UP,+0.53%,YES
2023-11-21,BULLISH,Prev India DOWN + US UP + SGX DOWN,19771,+0.39%,19800 CE,19750,2023-11-23,2,11.4,60.4,60.19,10:15 exit,10:15,-0.21,-96.03,DOWN,-0.02%,NO
2023-12-08,BULLISH,Prev India DOWN + US UP + SGX DOWN,20934,+0.16%,21000 CE,20950,2023-12-14,6,12.0,111.0,137.13,10:15 exit,10:15,26.13,1879.63,UP,+0.28%,YES
2023-12-13,BULLISH,Prev India DOWN + US UP + SGX DOWN,20930,+0.11%,21000 CE,20950,2023-12-14,1,17.7,58.25,34.95,Stop Loss,09:55,-23.3,-1827.5,DOWN,-0.38%,NO
2023-12-19,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,21478,+0.28%,21450 PE,21500,2023-12-21,2,18.9,110.0,154.0,Target Hit,09:40,44.0,3220.0,DOWN,-0.59%,YES
2023-12-29,BULLISH,Gap Down + US UP,21738,-0.19%,21800 CE,21750,2024-01-04,6,17.8,183.7,160.69,10:15 exit,10:15,-23.01,-1805.47,DOWN,-0.25%,NO
2024-01-09,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,21654,+0.65%,21600 PE,21650,2024-01-11,2,17.0,87.0,82.67,10:15 exit,10:15,-4.33,-404.61,UP,+0.02%,NO
2024-01-17,BULLISH,Gap Down + SGX UP,21647,-1.75%,21700 CE,21650,2024-01-18,1,24.1,100.05,140.07,Target Hit,09:16,40.02,2921.5,UP,+0.66%,YES
2024-01-19,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,21615,+0.71%,21550 PE,21600,2024-01-25,6,15.1,129.05,120.46,10:15 exit,10:15,-8.59,-723.99,UP,+0.11%,NO
2024-01-24,BULLISH,Gap Down + US UP,21185,-0.25%,21250 CE,21200,2024-01-25,1,19.8,71.3,99.82,Target Hit,09:22,28.52,2059.0,UP,+0.68%,YES
2024-02-02,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,21813,+0.53%,21750 PE,21800,2024-02-08,6,16.3,144.95,99.5,10:15 exit,10:15,-45.45,-3489.05,UP,+0.57%,NO
2024-02-13,BEARISH,Gap Up + Prev India DOWN + SGX UP + DAX UP,21664,+0.22%,21600 PE,21650,2024-02-15,2,23.6,126.45,177.03,Target Hit,09:32,50.58,3713.5,UP,+0.25%,NO
2024-02-14,BULLISH,Gap Down + SGX UP,21578,-0.76%,21650 CE,21600,2024-02-15,1,27.2,107.0,119.95,10:15 exit,10:15,12.95,891.49,UP,+0.20%,YES
2024-02-26,BULLISH,Gap Down + US UP,22169,-0.20%,22200 CE,22150,2024-02-29,3,19.4,153.0,138.54,10:15 exit,10:15,-14.46,-1164.86,DOWN,-0.09%,NO
2024-03-18,BULLISH,Gap Down + SGX UP,21990,-0.15%,22050 CE,22000,2024-03-21,3,17.2,120.65,121.96,10:15 exit,10:15,1.31,18.07,DOWN,-0.06%,NO
2024-03-19,BULLISH,Gap Down + US UP,21946,-0.50%,22000 CE,21950,2024-03-21,2,22.5,133.8,101.48,10:15 exit,10:15,-32.32,-2504.0,DOWN,-0.25%,NO
2024-03-22,BULLISH,Gap Down + US UP,21932,-0.36%,22000 CE,21950,2024-03-28,6,18.4,190.0,240.74,10:15 exit,10:15,50.74,3725.62,UP,+0.45%,YES
2024-03-27,BEARISH,Gap Up + Prev India DOWN + SGX UP + DAX UP,22054,+0.22%,22000 PE,22050,2024-03-28,1,14.7,50.0,30.0,Stop Loss,09:34,-20.0,-1580.0,UP,+0.42%,NO
2024-04-04,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,22592,+0.70%,22550 PE,22600,2024-04-04,0,36.1,67.0,93.8,Target Hit,09:29,26.8,1930.0,DOWN,-0.97%,YES
2024-04-08,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,22578,+0.29%,22550 PE,22600,2024-04-10,2,14.5,85.0,64.39,10:15 exit,10:15,-20.61,-1626.12,UP,+0.21%,NO
2024-04-10,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,22720,+0.34%,22650 PE,22700,2024-04-10,0,28.9,39.95,38.4,10:15 exit,10:15,-1.55,-196.41,DOWN,-0.06%,YES
2024-04-12,BULLISH,Gap Down + US UP,22677,-0.34%,22750 CE,22700,2024-04-18,6,11.1,109.2,92.87,10:15 exit,10:15,-16.33,-1304.76,DOWN,-0.16%,NO
2024-04-19,BULLISH,Gap Down + SGX UP,21862,-0.61%,21900 CE,21850,2024-04-25,6,13.3,144.95,155.9,10:15 exit,10:15,10.95,741.55,UP,+0.11%,YES
2024-04-25,BULLISH,Gap Down + US UP,22317,-0.38%,22350 CE,22300,2024-04-25,0,29.4,55.0,77.0,Target Hit,09:35,22.0,1570.0,UP,+0.63%,YES
2024-04-29,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,22476,+0.25%,22450 PE,22500,2024-05-02,3,14.4,103.6,100.29,10:15 exit,10:15,-3.31,-328.6,UP,+0.02%,NO
2024-05-06,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,22562,+0.38%,22500 PE,22550,2024-05-09,3,17.5,114.0,159.6,Target Hit,09:41,45.6,3340.0,DOWN,-0.42%,YES
2024-05-07,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,22490,+0.21%,22450 PE,22500,2024-05-09,2,15.7,87.95,123.13,Target Hit,09:56,35.18,2558.5,DOWN,-0.41%,YES
2024-05-08,BULLISH,Gap Down + US UP,22231,-0.32%,22300 CE,22250,2024-05-09,1,22.8,90.0,104.76,10:15 exit,10:15,14.76,1026.83,UP,+0.22%,YES
2024-05-10,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,21991,+0.15%,21950 PE,22000,2024-05-16,6,15.8,150.05,104.45,10:15 exit,10:15,-45.6,-3500.13,UP,+0.54%,NO
2024-05-16,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,22319,+0.53%,22250 PE,22300,2024-05-16,0,33.8,50.0,70.0,Target Hit,09:34,20.0,1420.0,DOWN,-0.33%,YES
2024-05-27,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,23039,+0.36%,23000 PE,23050,2024-05-30,3,16.7,120.15,168.21,Target Hit,10:02,48.06,3524.5,DOWN,-0.38%,YES
2024-05-29,BULLISH,Gap Down + US UP,22763,-0.55%,22800 CE,22750,2024-05-30,1,27.9,133.65,131.85,10:15 exit,10:15,-1.8,-215.34,DOWN,-0.02%,NO
2024-06-04,BULLISH,Gap Down + US UP,23180,-0.36%,23250 CE,23200,2024-06-06,2,58.8,398.3,238.98,Stop Loss,09:21,-159.32,-12029.0,DOWN,-1.49%,NO
2024-06-05,BULLISH,Prev India DOWN + US UP + SGX DOWN,22128,+1.11%,22200 CE,22150,2024-06-06,1,39.2,172.0,103.2,Stop Loss,09:20,-68.8,-5240.0,DOWN,-0.29%,NO
2024-07-03,BEARISH,Gap Up + Prev India DOWN + US UP + SGX UP,24292,+0.70%,24250 PE,24300,2024-07-04,1,20.6,94.9,105.05,10:15 exit,10:15,10.15,681.56,DOWN,-0.10%,YES
