N,Freq,P_Down,P_Up,Edge,CI_lo,CI_hi,p_val,Sig,Verdict,Level,Signal
47,6.4,38.3,61.7,-16.2,25.8,52.6,0.0281,*,RELIABLE,3,China DOWN + HangSeng UP + Gap Up
60,8.1,38.3,61.7,-16.2,27.1,51.0,0.0135,*,RELIABLE,4,Oil UP + Gap Down + SGX DOWN + US DOWN
61,8.2,70.5,29.5,16.0,58.1,80.4,0.014,*,RELIABLE,4,DXY DOWN + HangSeng DOWN + DAX UP + US UP
65,8.8,38.5,61.5,-16.0,27.6,50.6,0.0122,*,RELIABLE,4,China DOWN + Oil UP + SGX DOWN + US DOWN
52,7.0,38.5,61.5,-16.0,26.5,52.0,0.0251,*,RELIABLE,3,Oil UP + Gap Down + VIX Rising
65,8.8,38.5,61.5,-16.0,27.6,50.6,0.0122,*,RELIABLE,3,China DOWN + HangSeng UP + US UP
44,5.9,38.6,61.4,-15.9,25.7,53.4,0.0478,*,RELIABLE,4,China DOWN + DXY DOWN + Oil UP + VIX Falling
44,5.9,38.6,61.4,-15.9,25.7,53.4,0.0478,*,RELIABLE,3,China DOWN + Gap Down + VIX Rising
57,7.7,38.6,61.4,-15.9,27.1,51.6,0.0168,*,RELIABLE,3,DXY DOWN + Prev India DOWN + US DOWN
44,5.9,38.6,61.4,-15.9,25.7,53.4,0.0478,*,RELIABLE,3,Oil UP + Gap Up + SGX DOWN
70,9.5,38.6,61.4,-15.9,28.0,50.3,0.0081,**,RELIABLE,3,DXY DOWN + Prev India DOWN + SGX DOWN
85,11.5,38.8,61.2,-15.7,29.2,49.5,0.0044,**,RELIABLE,3,Oil UP + Prev India DOWN + SGX DOWN
50,6.8,70.0,30.0,15.5,56.2,80.9,0.0325,*,RELIABLE,4,Oil DOWN + Prev India DOWN + SGX UP + US UP
59,8.0,39.0,61.0,-15.5,27.6,51.7,0.0184,*,RELIABLE,3,DXY DOWN + SGX DOWN + VIX Rising
64,8.6,39.1,60.9,-15.4,28.1,51.3,0.0165,*,RELIABLE,3,DXY UP + Gap Down + Prev India DOWN
46,6.2,39.1,60.9,-15.4,26.4,53.5,0.0388,*,RELIABLE,4,Oil UP + Prev India DOWN + SGX DOWN + VIX Rising
64,8.6,39.1,60.9,-15.4,28.1,51.3,0.0165,*,RELIABLE,3,DXY DOWN + Oil UP + US DOWN
69,9.3,39.1,60.9,-15.4,28.5,50.9,0.0111,*,RELIABLE,3,DXY DOWN + Oil UP + SGX DOWN
43,5.8,69.8,30.2,15.3,54.9,81.4,0.0471,*,RELIABLE,4,DXY DOWN + HangSeng DOWN + Oil DOWN + US UP
51,6.9,39.2,60.8,-15.3,27.0,52.9,0.0343,*,RELIABLE,4,HangSeng DOWN + Oil UP + Prev India DOWN + SGX DOWN
66,8.9,39.4,60.6,-15.1,28.5,51.5,0.0182,*,RELIABLE,4,Oil UP + Prev India DOWN + SGX DOWN + US DOWN
56,7.6,69.6,30.4,15.1,56.7,80.1,0.0228,*,RELIABLE,4,China DOWN + DXY DOWN + HangSeng DOWN + US UP
53,7.2,39.6,60.4,-14.9,27.6,53.1,0.0377,*,RELIABLE,4,DXY UP + Gap Down + Prev India DOWN + SGX DOWN
49,6.6,69.4,30.6,14.9,55.5,80.5,0.0438,*,RELIABLE,4,HangSeng DOWN + DAX UP + Prev India DOWN + SGX UP
58,7.8,39.7,60.3,-14.8,28.1,52.5,0.025,*,RELIABLE,3,Oil UP + Prev India DOWN + VIX Rising
68,9.2,39.7,60.3,-14.8,28.9,51.6,0.015,*,RELIABLE,3,Oil UP + Gap Down + US DOWN
83,11.2,39.8,60.2,-14.7,29.9,50.5,0.0079,**,RELIABLE,3,Oil UP + Prev India DOWN + US DOWN
55,7.4,69.1,30.9,14.6,56.0,79.7,0.0306,*,RELIABLE,4,DXY DOWN + HangSeng DOWN + DAX UP + SGX UP
81,10.9,69.1,30.9,14.6,58.4,78.1,0.0099,**,RELIABLE,4,HangSeng DOWN + Gap Up + SGX UP + US UP
60,8.1,40.0,60.0,-14.5,28.6,52.6,0.0273,*,RELIABLE,3,China DOWN + SGX DOWN + VIX Spike
60,8.1,40.0,60.0,-14.5,28.6,52.6,0.0273,*,RELIABLE,4,China DOWN + SGX DOWN + US DOWN + VIX Spike
50,6.8,40.0,60.0,-14.5,27.6,53.8,0.0463,*,RELIABLE,4,China DOWN + HangSeng UP + SGX UP + US UP
60,8.1,40.0,60.0,-14.5,28.6,52.6,0.0273,*,RELIABLE,3,China DOWN + Gap Down + SGX DOWN
75,10.1,40.0,60.0,-14.5,29.7,51.3,0.0144,*,RELIABLE,2,China DOWN + Gap Down
90,12.2,68.9,31.1,14.4,58.7,77.5,0.0059,**,RELIABLE,4,HangSeng DOWN + DAX UP + SGX UP + US UP
57,7.7,40.4,59.6,-14.1,28.6,53.3,0.0337,*,RELIABLE,3,DXY DOWN + HangSeng DOWN + US DOWN
70,9.5,68.6,31.4,14.1,57.0,78.2,0.022,*,RELIABLE,4,DXY DOWN + HangSeng DOWN + SGX UP + US UP
54,7.3,68.5,31.5,14.0,55.3,79.3,0.0407,*,RELIABLE,4,HangSeng DOWN + Oil UP + DAX UP + SGX UP
59,8.0,40.7,59.3,-13.8,29.1,53.4,0.0364,*,RELIABLE,4,DXY DOWN + HangSeng UP + Oil UP + DAX UP
60,8.1,68.3,31.7,13.8,55.8,78.7,0.0374,*,RELIABLE,4,HangSeng DOWN + Prev India DOWN + SGX UP + US UP
72,9.7,68.1,31.9,13.6,56.6,77.7,0.024,*,RELIABLE,4,HangSeng DOWN + DAX UP + Gap Up + US UP
107,14.5,41.1,58.9,-13.4,32.3,50.6,0.0064,**,RELIABLE,2,China DOWN + HangSeng UP
59,8.0,67.8,32.2,13.3,55.1,78.3,0.0491,*,RELIABLE,4,China DOWN + HangSeng DOWN + Gap Up + SGX UP
65,8.8,67.7,32.3,13.2,55.6,77.8,0.0343,*,RELIABLE,4,HangSeng DOWN + DAX UP + Gap Up + SGX UP
74,10.0,67.6,32.4,13.1,56.3,77.1,0.0263,*,RELIABLE,4,HangSeng DOWN + Gap Up + SGX UP + VIX Falling
58,7.8,41.4,58.6,-13.1,29.6,54.2,0.0483,*,RELIABLE,3,Oil UP + DAX UP + SGX DOWN
64,8.6,67.2,32.8,12.7,55.0,77.4,0.0447,*,RELIABLE,4,China DOWN + HangSeng DOWN + DAX UP + VIX Falling
86,11.6,41.9,58.1,-12.6,32.0,52.4,0.0225,*,RELIABLE,3,Oil UP + Prev India DOWN + VIX Falling
76,10.3,67.1,32.9,12.6,55.9,76.6,0.0286,*,RELIABLE,4,DXY DOWN + Oil DOWN + SGX UP + US UP
81,10.9,42.0,58.0,-12.5,31.8,52.8,0.0256,*,RELIABLE,3,China DOWN + DXY DOWN + Oil UP
76,10.3,42.1,57.9,-12.4,31.6,53.3,0.0375,*,RELIABLE,3,HangSeng UP + Oil UP + SGX DOWN
84,11.4,66.7,33.3,12.2,56.1,75.8,0.0281,*,RELIABLE,3,HangSeng DOWN + DAX UP + Gap Up
165,22.3,42.4,57.6,-12.1,35.1,50.1,0.0022,**,RELIABLE,2,Oil UP + SGX DOWN
87,11.8,42.5,57.5,-12.0,32.7,53.0,0.0308,*,RELIABLE,3,China DOWN + Oil UP + VIX Falling
75,10.1,42.7,57.3,-11.8,32.1,53.9,0.0481,*,RELIABLE,4,Oil UP + SGX DOWN + US DOWN + VIX Rising
83,11.2,66.3,33.7,11.8,55.6,75.5,0.0358,*,RELIABLE,4,China DOWN + HangSeng DOWN + SGX UP + US UP
89,12.0,42.7,57.3,-11.8,32.9,53.1,0.0327,*,RELIABLE,3,HangSeng DOWN + Oil UP + SGX DOWN
80,10.8,66.2,33.8,11.8,55.4,75.7,0.0427,*,RELIABLE,4,HangSeng DOWN + DAX UP + SGX UP + VIX Falling
93,12.6,43.0,57.0,-11.5,33.4,53.2,0.0286,*,RELIABLE,3,DXY DOWN + Oil UP + VIX Falling
82,11.1,65.9,34.1,11.4,55.1,75.2,0.0454,*,RELIABLE,3,DXY DOWN + HangSeng DOWN + SGX UP
81,10.9,43.2,56.8,-11.3,33.0,54.1,0.0447,*,RELIABLE,3,China DOWN + Oil UP + US DOWN
95,12.8,43.2,56.8,-11.3,33.7,53.2,0.0302,*,RELIABLE,3,DXY DOWN + HangSeng UP + Oil UP
90,12.2,65.6,34.4,11.1,55.3,74.6,0.0437,*,RELIABLE,3,DXY DOWN + HangSeng DOWN + US UP
90,12.2,65.6,34.4,11.1,55.3,74.6,0.0437,*,RELIABLE,3,HangSeng DOWN + Gap Up + SGX UP
96,13.0,43.8,56.2,-10.8,34.3,53.7,0.04,*,RELIABLE,2,DXY UP + Gap Down
92,12.4,65.2,34.8,10.7,55.1,74.2,0.0462,*,RELIABLE,3,DXY DOWN + Oil DOWN + SGX UP
105,14.2,43.8,56.2,-10.7,34.7,53.4,0.0309,*,RELIABLE,3,HangSeng UP + Oil UP + VIX Falling
109,14.7,65.1,34.9,10.6,55.8,73.4,0.0269,*,RELIABLE,3,HangSeng DOWN + DAX UP + US UP
108,14.6,64.8,35.2,10.3,55.4,73.2,0.0334,*,RELIABLE,3,China DOWN + HangSeng DOWN + DAX UP
122,16.5,44.3,55.7,-10.2,35.8,53.1,0.0287,*,RELIABLE,3,Oil UP + SGX DOWN + US DOWN
135,18.2,64.4,35.6,9.9,56.1,72.0,0.0243,*,RELIABLE,3,HangSeng DOWN + SGX UP + US UP
171,23.1,45.6,54.4,-8.9,38.3,53.1,0.0212,*,RELIABLE,2,Oil UP + Prev India DOWN
166,22.4,45.8,54.2,-8.7,38.4,53.4,0.0288,*,RELIABLE,2,China DOWN + SGX DOWN
199,26.9,46.2,53.8,-8.3,39.4,53.2,0.0225,*,RELIABLE,2,Oil UP + VIX Falling
191,25.8,46.6,53.4,-7.9,39.7,53.7,0.0293,*,RELIABLE,2,HangSeng UP + Oil UP
176,23.8,46.6,53.4,-7.9,39.4,54.0,0.0407,*,RELIABLE,2,China DOWN + Oil UP
